co,no,no2,o3,so2,pm2_5,pm10,nh3,hour_sin,hour_cos,day_sin,day_cos,week_sin,week_cos,AQI_scaled,date,hour
1.4810363085498581,2.0696445620073196,0.6264539556392845,-1.0658440948571664,0.7236901561816368,1.1075892657929458,1.2351127303676905,0.40911993115595247,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0.0,1.0,1.077993804452577,2024-11-01,16
1.2726267355703083,1.3652201831977964,0.9831905699446865,-1.0658440948571664,1.8898468795553283,1.0132946416390451,2.349766291177387,1.2231043922470417,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0.0,1.0,1.0375094842594204,2024-11-01,16
1.2726267355703083,1.3652201831977964,0.9831905699446865,-1.0658440948571664,1.8898468795553283,1.0132946416390451,2.349766291177387,1.2231043922470417,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0.0,1.0,1.0375094842594204,2024-11-01,16
1.0642171625907586,0.709799239435892,0.7030036874589852,-1.0658440948571664,0.22365893746368212,0.5183117500777835,0.5353932656283249,-0.1400274803935383,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0.0,1.0,0.8350878832936369,2024-11-01,16
0.3868925542635752,-0.2947711790402977,0.34626707315358335,-1.031226387241084,-0.21517964959298438,0.10791292516947844,0.2769097303713977,0.057626641139345826,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0.0,1.0,0.6731506025210103,2024-11-01,16
0.9600123761009837,0.3877766662658242,0.5246353803062844,-1.0654636804877586,-0.19419931873768567,0.5369662421190698,0.6415075590495896,0.2854643969949856,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0.0,1.0,0.8553300433902153,2024-11-01,16
0.2479571748481109,-0.45665752696546763,0.6517227991525839,-0.6816255817555948,-0.12076816074413989,0.033806038978065805,0.20571338820413881,0.6311156932717041,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0.0,1.0,0.6124241222312753,2024-11-01,16
1.8283682532321661,3.047088078939291,1.0597403017643874,-1.0658440948571664,2.0576895263977186,1.2527365463333677,1.4482482769830516,1.8394347318052466,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0.0,1.0,1.138720284742312,2024-11-01,16
1.4810363085498581,2.0696445620073196,0.6264539556392845,-1.0658440948571664,0.7236901561816368,1.1075892657929458,1.2351127303676905,0.40911993115595247,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0.0,1.0,1.077993804452577,2024-11-01,16
0.12638709189549122,-0.4689083857273724,0.677734843945686,-0.4876142533577715,0.04532612519364228,-0.08016524116458927,0.07307052142755795,1.1982759188525172,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0.0,1.0,0.38976036116891355,2024-11-01,16
1.307357328495998,0.6021666945991573,1.0850091452776864,-1.0658440948571664,-0.07880749903354226,0.9527314277515808,0.9947683905673901,0.23629428301759334,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0.0,1.0,1.017267324162842,2024-11-01,16
0.4910973407533502,0.4849084750209261,0.29572938612698474,-1.0658440948571664,0.34779256169086664,0.11174603997248249,0.19301595138450056,0.07612628798232508,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0.0,1.0,0.6731506025210103,2024-11-01,16
1.7241764744550976,2.969207619667183,1.8237512174017891,-1.0658440948571664,5.099837500416044,1.3771850069375675,1.5956292400681413,2.8262448410346948,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0.0,1.0,1.199446765032047,2024-11-01,16
1.7241764744550976,2.969207619667183,1.8237512174017891,-1.0658440948571664,5.099837500416044,1.3771850069375675,1.5956292400681413,2.8262448410346948,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0.0,1.0,1.199446765032047,2024-11-01,16
0.6126674237059696,0.28014412142908957,1.5435643349160884,-1.0650832661183514,2.2237838123355003,0.3956520763816522,0.431999851525554,1.9382617925716887,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0.0,1.0,0.7946035631004803,2024-11-01,16
0.6126674237059696,0.28014412142908957,1.5435643349160884,-1.0650832661183514,2.2237838123355003,0.3956520763816522,0.431999851525554,1.9382617925716887,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0.0,1.0,0.7946035631004803,2024-11-01,16
0.4910973407533502,0.4849084750209261,0.29572938612698474,-1.0658440948571664,0.34779256169086664,0.11174603997248249,0.19301595138450056,0.07612628798232508,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0.0,1.0,0.6731506025210103,2024-11-01,16
0.8905511902496048,0.5050348858440554,1.9255697927347895,-1.0654636804877586,3.0157913021230303,0.7682308352336504,1.2348859904244827,1.8146062584107219,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0.0,1.0,0.956540843873107,2024-11-01,16
0.5432062378545908,0.14800985906854544,1.033728256971285,-1.0647028517489436,0.8688041112641202,0.5395216519877395,0.5383408848900266,1.6914375570614124,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0.0,1.0,0.8553300433902153,2024-11-01,16
